"","Force.type","Force.level","year.of.record"
"1695","Firearm Exhibited","L1",2015
"1696","Firearm Exhibited","L1",2015
"1697","Firearm Exhibited","L1",2015
"1698","Firearm Exhibited","L1",2015
"1699","Firearm Exhibited","L1",2015
"1700","Firearm Exhibited","L1",2015
"1701","Firearm Exhibited","L1",2015
"1702","Defense Tech / Take-down","L2",2015
"1703","Defense Tech / Take-down","L2",2015
"1704","Defense Tech / Take-down","L2",2015
"1705","Defense Tech / Take-down","L2",2015
"1706","Hands / Escort tech","L1",2015
"1707","Hands / Escort tech","L1",2015
"1708","Hands / Escort tech","L1",2015
"1709","Firearm Exhibited","L1",2015
"1710","Firearm Exhibited","L1",2015
"1711","Firearm Exhibited","L1",2015
"1712","Taser Exhibited ","L1",2015
"1713","Firearm Exhibited","L1",2015
"1714","Firearm Exhibited","L1",2015
"1715","Firearm Exhibited","L1",2015
"1716","Firearm Exhibited","L1",2015
"1717","L2-Other","L2",2015
"1718","Taser No-Hit","L2",2015
"1719","Defense Tech / Take-down","L2",2015
"1720","Hands / Escort tech","L1",2015
"1721","Firearm Exhibited","L1",2015
"1722","Hands / Escort tech","L1",2015
"1723","Hands / Escort tech","L1",2015
"1724","L1-Other","L1",2015
"1725","Hands / Escort tech","L1",2015
"1726","Hands / Escort tech","L1",2015
"1727","Taser No-Hit","L2",2015
"1728","Firearm Exhibited","L1",2015
"1729","Firearm Exhibited","L1",2015
"1730","Taser Exhibited ","L1",2015
"1731","Hands / Escort tech","L1",2015
"1732","Firearm Exhibited","L1",2015
"1733","Firearm Exhibited","L1",2015
"1734","Firearm Exhibited","L1",2015
"1735","Firearm Exhibited","L1",2015
"1736","Firearm Exhibited","L1",2015
"1737","Firearm Exhibited","L1",2015
"1738","Firearm Exhibited","L1",2015
"1739","Firearm Exhibited","L1",2015
"1740","Firearm Exhibited","L1",2015
"1741","Firearm Exhibited","L1",2015
"1742","Firearm Exhibited","L1",2015
"1743","Firearm Exhibited","L1",2015
"1744","Firearm Exhibited","L1",2015
"1745","Firearm Exhibited","L1",2015
"1746","Firearm Exhibited","L1",2015
"1747","Firearm Exhibited","L1",2015
"1748","Hands / Escort tech","L1",2015
"1749","Taser Hit","L4",2015
"1750","Hands / Escort tech","L1",2015
"1751","Hands / Escort tech","L1",2015
"1752","Taser No-Hit","L2",2015
"1753","Canine (No Bite)","L1",2015
"1754","Firearm Exhibited","L1",2015
"1755","Firearm Exhibited","L1",2015
"1756","Canine (No Bite)","L1",2015
"1757","Firearm Exhibited","L1",2015
"1758","Defense Tech / Take-down","L2",2015
"1759","Taser Exhibited ","L1",2015
"1760","Firearm Exhibited","L1",2015
"1761","Taser No-Hit","L2",2015
"1762","Firearm Exhibited","L1",2015
"1763","Taser Exhibited ","L1",2015
"1764","Taser No-Hit","L2",2015
"1765","Hands / Escort tech","L1",2015
"1766","Firearm Exhibited","L1",2015
"1767","Hands / Escort tech","L1",2015
"1768","Taser No-Hit","L2",2015
"1769","Hands / Escort tech","L1",2015
"1770","Defense Tech / Take-down","L2",2015
"1771","Hands / Escort tech","L1",2015
"1772","Hands / Escort tech","L1",2015
"1773","Taser Exhibited ","L1",2015
"1774","Taser Exhibited ","L1",2015
"1775","Hands / Escort tech","L1",2015
"1776","Hands / Escort tech","L1",2015
"1777","Taser No-Hit","L2",2015
"1778","Taser No-Hit","L2",2015
"1779","Defense Tech / Take-down","L2",2015
"1780","Hands / Escort tech","L1",2015
"1781","Hands / Escort tech","L1",2015
"1782","Taser Exhibited ","L1",2015
"1783","Firearm Exhibited","L1",2015
"1784","Hands / Escort tech","L1",2015
"1785","Hands / Escort tech","L1",2015
"1786","Hands / Escort tech","L1",2015
"1787","Defense Tech / Take-down","L2",2015
"1788","Defense Tech / Take-down","L2",2015
"1789","Defense Tech / Take-down","L2",2015
"1790","Hands / Escort tech","L1",2015
"1791","Hands / Escort tech","L1",2015
