"","Force.type","Force.level","year.of.record"
"462","Firearm Exhibited","L1",2015
"463","Defense Tech / Take-down","L2",2015
"464","Firearm Exhibited","L1",2015
"465","Firearm Exhibited","L1",2015
"466","Firearm Exhibited","L1",2015
"467","Firearm Exhibited","L1",2015
"468","Firearm Exhibited","L1",2015
"469","Firearm Exhibited","L1",2015
"470","Firearm Exhibited","L1",2015
"471","Firearm Exhibited","L1",2015
"472","Taser Exhibited ","L1",2015
"473","Taser Exhibited ","L1",2015
"474","Firearm Exhibited","L1",2015
"475","Firearm Exhibited","L1",2015
"476","Firearm Exhibited","L1",2015
"477","Firearm Exhibited","L1",2015
