"","Action.taken.OIPM","Action.taken.year","Allegation.short","Allegation.primary.key"
"4752","None",2015,"NEGLECT OF DUTY","1404f9acd2e1d3dd0c9fee5d6bdd1dee"
"4753","None",2016,"FALSE OR INACCURATE REPORTS","69d018750185ab6915081be8c1727486"
"4754","None",2016,"Professionalism","2b735a63bc3e193e90246812667c6077"
"4755","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d8bdca887d33ddbb89efe608eb205d47"
"4756","None",2016,"NEGLECT OF DUTY","ce60c4038f57109ab72c910f50bf074a"
"4757","Unknown action taken",2015,"COURTESY","99f6a6f5820eaa21b52ef24f612d4d15"
"4758","None",2016,"NEGLECT OF DUTY","aa24308b1f3d66e165a1c24206a36681"
"4759","None",2016,"FALSE OR INACCURATE REPORTS","ee80eb6c683bd99dde56fd6dcedfa861"
"4760","None",2015,"NEGLECT OF DUTY","a346ef9fd57da51159a70d0b6a26cc27"
"4761","Suspension",2018,"Professionalism","35cdf34b13aa32dc05791c6c17165b89"
"4762","None",2015,"NEGLECT OF DUTY","23c4dfdf2e7874e6f0fa149f5127c1ec"
"4763","None",2015,"Professionalism","dc80cfe98051a5e4b4ea3b1b3e4ff4e0"
"4764","None",2017,"NEGLECT OF DUTY","68c7168d65ea0ef707831cfef3f9ae8e"
"4765","None",2015,"NEGLECT OF DUTY","0051233ecab49c4f224fbbbf485d78ca"
"4766","Illegitimate outcome",2015,"NEGLECT OF DUTY","d1fd43c785b3093d7d69eeb38b5d824d"
"4767","Suspension",2016,"NEGLECT OF DUTY","2af8041ae9c1cc5ea1a2f8fbedae8e20"
"4768","None",2015,"Professionalism","13277c3efdf2d216d686663d4e61b024"
"4769","None",2015,"NEGLECT OF DUTY","946c56e6331976e4612b6cbacaa2c780"
"4770","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9089ed5b3b49e1434050c2cd84882d6e"
"4771","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","83c8241d7f8f3989c0612b2efb071af3"
"4772","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b56a13433a875a810ee978eaa2531afa"
"4773","None",2017,"NEGLECT OF DUTY","a49a899eaea598661365197b47fed1e2"
"4774","None",2017,"NEGLECT OF DUTY","1cf3a32c120bd3f6faddc6ae470fd2b8"
"4775","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7d1fc934d08c16c7a77ebe6d61f8b666"
"4776","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c5a0a6a27986940214a980d952dd8047"
"4777","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","1965e60f1fc1b3c0eb6982b433b07b1b"
"4778","None",2016,"ADHERENCE TO LAW","ae86e9b66677c3d0e1b918f8c3877b99"
"4779","None",2015,"Professionalism","17c858c9c6d0d4c249f2b45fe37c6fa5"
"4780","None",2015,"Professionalism","440ceddf779331c2481f665bb85932c0"
"4781","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f5b5d809861c1043c31366d7fa23852c"
"4782","Illegitimate outcome",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","316376dedfedfb039ad519e9ce4fa82c"
"4783","None",2015,"NEGLECT OF DUTY","db27bafd563f19786dfbe3b3bba1e0a8"
"4784","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9d9daf413eed52a2ce08622fc793155e"
"4785","None",2016,"FALSE OR INACCURATE REPORTS","48338129ff1c76a633b3b17af55246e1"
"4786","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","663789264738dc11babdaeecf4636051"
"4787","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f1b12be7927fa30be047bac752d051c7"
"4788","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","8706c65629fec6bd6c4fa4a52d93b3a9"
"4789","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0b1f6bc179045a0f11e8d4f2d671c626"
"4790","None",2016,"NEGLECT OF DUTY","15f26e7dbadaf99ff8663c0dc0ae1c48"
"4791","Letter of Reprimand",2017,"NEGLECT OF DUTY","9a1014a02d602a4b690320b127cf57f1"
"4792","None",2018,"ADHERENCE TO LAW","5c025fe3598b49eedc80858e008a0232"
"4793","None",2018,"COURTESY","48d4a0a551175770e569de93fd164699"
"4794","None",2015,"Professionalism","97d61a284f2cf38e3a90dd3e6eb6f3d3"
"4795","None",2015,"Use Of Alcohol/Drugs On Duty","3887a8189e96d4d9d71b84638999575e"
"4796","None",2015,"NEGLECT OF DUTY","8a6d23964b6c92997d959d79d8bb7659"
"4797","None",2015,"VERBAL INTIMIDATION","7c6140e13cbb86e46d6d351d22dae28d"
"4798","None",2016,"ADHERENCE TO LAW","654983c0a59bab1f7093b758a363031d"
"4799","Suspension",2018,"ADHERENCE TO LAW","d84689973bb7f9804e6f98f2bb7de9ce"
"4800","None",2015,"Professionalism","c6611c135f22c6d62b3d4c451c2b5440"
"4801","None",2015,"FALSE OR INACCURATE REPORTS","c5d50bc4b22a03d53be4bdac38a84939"
"4802","None",2015,"NEGLECT OF DUTY","2f76f30294d72a2d252c8f4aafaee698"
"4803","None",2015,"NEGLECT OF DUTY","a84f7e892ab64e59e2b165bf913d4b31"
"4804","None",2016,"NEGLECT OF DUTY","729ee571cc440312ab3eead281315f2c"
"4805","None",2016,"NEGLECT OF DUTY","84ed62231a129f1d3a99ecb71766f675"
"4806","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","06446681946d5a9e29972126604e6cb3"
"4807","None",2015,"FALSE OR INACCURATE REPORTS","75072e9e3492ad4ed088df508a9fdc1d"
"4808","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0a1cd13f33c89aa8e4963563cf8ae97c"
"4809","None",2016,"Professionalism","037903b6ddb86dd416e8c27c518c3d1a"
"4810","None",2016,"Professionalism","b699b9ac06b7be66b2e746f0f0402123"
"4811","None",2015,"NEGLECT OF DUTY","2ce475b1122cc25d204d3d3d73a01d67"
"4812","None",2015,"NEGLECT OF DUTY","19ce37340d4bdde6f1d6557e228ef6e1"
"4813","None",2016,"Professionalism","57afbc4834569be469d74ab18ac6e8d7"
"4814","Suspension",2016,"NEGLECT OF DUTY","a4085c10ab84a58f0700183d7ea4f573"
"4815","None",2015,"Professionalism","774f6dd806fe0e56a96ff016e4e6f3cd"
"4816","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","af53d3ed6f099822582545621f282ba9"
"4817","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","462a6106eafcd22b8232ff711673841e"
"4818","None",2016,"NEGLECT OF DUTY","860ee1a15da2285a082b30a329fb5ac1"
"4819","None",2016,"HONESTY AND TRUTHFULNESS","8c142922c1a02269092220e4d0ed55f4"
"4820","None",2015,"NEGLECT OF DUTY","757f1a2d3e26b848d4aeaaa7545a0f6c"
"4821","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f80f3f8237794e39f9b191b1d49e12da"
"4822","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7c4496c9c7010b8e2b395be45f01a831"
"4823","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a85630f82d6af4e8592474acb22f6d3f"
"4824","None",2015,"Professionalism","8c6dde01516e123f3cfb6c624c912254"
"4825","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","8a703a1f1cb0f624b5bada07cd8e1358"
"4826","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","943771a1f9692f6c994ca8d7b2cafef5"
"4827","None",2016,"NEGLECT OF DUTY","238dcdccab8af0f910527bf7693d1847"
"4828","Suspension",2015,"ADHERENCE TO LAW","8804685eb2cf6754e8536dba64bd6e70"
"4829","DI-2",2015,"REPORTING FOR DUTY","0582f7ac003f2e854d427f0609cdd5eb"
"4830","None",2015,"Professionalism","685e21d12d7675497bbf2ec649885f31"
"4831","None",2015,"NEGLECT OF DUTY","57111287075022c022a59ed3849e13bb"
"4832","None",2016,"NEGLECT OF DUTY","f1de9dd914806c27d345db9078e23897"
"4833","Letter of Reprimand",2017,"NEGLECT OF DUTY","77eff0d95ea3283b9f3b285ccbfd4c26"
"4834","None",2016,"COURTESY","428eb5b6228c38877eaf7d167949ce92"
"4835","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","75104e91226db57eb930058838a7ef32"
"4836","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","298c81764ffb9907a38c882d16e3bcfe"
"4837","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","1c8274c91cbd12aef81c579a6eea1611"
"4838","Suspension",2016,"NEGLECT OF DUTY","d887df403560e6f48c9d283512fbaa00"
"4839","None",2015,"VERBAL INTIMIDATION","1c0268c2ff28740c370a141c1d1af94c"
"4840","None",2015,"NEGLECT OF DUTY","2cc26f1a54f17270cfa46874bc4d0905"
"4841","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b4cb98f363735dd119eac1ae0cfe8f94"
"4842","None",2015,"Professionalism","00508a37fe9c50a202dd9be6ccb66ffa"
"4843","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","88ea5a4b18929d002965c908c3d6ea9e"
"4844","None",2015,"NEGLECT OF DUTY","ecbd0ab94890d221cabdc4e560c3caab"
"4845","None",2016,"Professionalism","b08152c24389d44d90e71771f8934696"
"4846","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f87d0ada958c9ec26c5c38b3cc9f4cef"
"4847","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0358a9aa98f944ae73e4a4158b85b961"
"4848","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","e76add7e137c9943b1a2099dfc434bc1"
"4849","Suspension",2016,"NEGLECT OF DUTY","5b458cc22ce65145e9e1b4e55ed78110"
"4850","Suspension",2016,"NEGLECT OF DUTY","16ae6ce002f2f7490a5e5434d7663aa8"
"4851","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","5881b2cbe8dec5c366a8750668648a61"
"4852","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b7fe57284c3a404f2b01b57f81aa79d1"
"4853","Letter of Reprimand",2016,"NEGLECT OF DUTY","1863cb4a5338fc778792f5460b2872c6"
"4854","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","fb97941f49bdfa47c1292f8b8f3702f7"
"4855","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f51212cfb39807c19766d367143c8f79"
"4856","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","04dc3b2682e3cde18a5ad7e1abcd0c27"
"4857","DI-2",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7783afa081954bfb3c877039e96b59d7"
"4858","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c89596ea32609391c02021823c91dc24"
"4859","None",2015,"NEGLECT OF DUTY","f05770977fa9fa2880ad783ebf206f2a"
"4860","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7254794708ba9ded8ac13ac1037e1e74"
"4861","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","bdac4d8dbde6dcc47d31a56d67feee93"
"4862","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d2b66c750837b78464ef3db9d62989ad"
"4863","Illegitimate outcome",2016,"NEGLECT OF DUTY","b70a791c17bb6e2cf3e4f805f0f601f9"
"4864","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c767e2021d74812b14c85a92651fef6b"
"4865","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6b8a8c6329dea11b0933aa139f1ad0d4"
"4866","Unknown action taken",2015,"","497f22b7523a13eb534f9f6cfef3da2c"
"4867","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","feb5efe4b8fc8b3190503ff3cf7e2d3c"
"4868","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b7d1b3c3ab19059c619fb6c964fae043"
"4869","Letter of Reprimand",2018,"Professionalism","28bae9674b1ae8e42de9d193386b1f4d"
"4870","Letter of Reprimand",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f6b0b168e196ce70e20b4f4165fb8a14"
"4871","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b132fee88da68a8e6bc4eecf6b5ada14"
"4872","None",2015,"NEGLECT OF DUTY","41e66acc83025659d5cf90ccdb6c8174"
"4873","None",2015,"NEGLECT OF DUTY","c1281fb0d7cfb0340c3b434df7800b69"
"4874","None",2015,"NEGLECT OF DUTY","62bd8e404d24199770650eff239d5c25"
"4875","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d59b1127668f0d05965b109e178af40f"
"4876","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a5a52091882f60735eb31fc441d8cba1"
"4877","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","fb3360f1912e348524dfc398c1b03218"
"4878","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","08c59225890556d1cd4332cdedda50f1"
"4879","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","233f508ade9eaa0809cf5dfbb5f0cae1"
"4880","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0e5c6998172f2f476a04ca4f09114cca"
"4881","None",2016,"Professionalism","52762f032b8551b4da9defe49144c406"
"4882","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f623c71c0c2cafddf9d7d6f45434f70f"
"4883","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0c12d6f9019c9accb640705241f15c8e"
"4884","Letter of Reprimand",2016,"NEGLECT OF DUTY","24ad418617ef9456ab05aea4700fdff8"
"4885","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0a1061579b84fcc92fd9512a467528e9"
"4886","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","44dd4d5771150c094a40d572a1e288b8"
"4887","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","706b3b37ad8fdd7b46edad3f98de76e3"
"4888","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","8b7bc6bed8d58b325fac301445f40ea5"
"4889","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","46f23bc7d329ca298d8b05dcbd63cf4a"
"4890","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9216ceef274bb0c87ae07f0a1dbbf848"
"4891","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","047242c009d7e594ba020222ac761991"
"4892","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","3975fb095ab5a92a8216fcf2e6e7fdd8"
"4893","None",2015,"Professionalism","e9e8ddd1759244fea5d1e199c415de74"
"4894","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d5c4cf7fd57efb51f00c57a05084cd5c"
"4895","None",2016,"Professionalism","5a6f6e3d0da75dd39a957a582906b300"
"4896","None",2015,"NEGLECT OF DUTY","ab8b1876ffa2493933b0214dbb6cc052"
"4897","None",2015,"NEGLECT OF DUTY","fc7ef254732ef0d0d1ea5a50b7a0441f"
"4898","None",2016,"Professionalism","c426160219cbc7e5c9ec8d89c6981fee"
"4899","None",2016,"NEGLECT OF DUTY","11bfe06b154e5eed018818465c2483e2"
"4900","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","eda68593b2f95524ba5b3a6bad9b877a"
"4901","None",2016,"Professionalism","4a5808ca77b134314a9864a0a3b32d56"
"4902","None",2016,"NEGLECT OF DUTY","a7fb84b897f36e22c996f0a26236d2d2"
"4903","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","384ce94800a4c683a4f4fa461c2374dd"
"4904","None",2016,"Professionalism","ce0f44fd1e4c31bec29048f38bffd5a4"
"4905","DI-2",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","785209da767692749771d45e727d0b78"
"4906","None",2017,"Abuse of Position","336dd045a38b5fe405710c47660498b9"
"4907","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","37a32a43545b8c80f7e5615f541860e2"
"4908","None",2015,"Professionalism","6b979b0a77d91d1078c31769d6e65fb4"
"4909","None",2015,"Professionalism","94d0c4cfa3b80776e2e81cbd8a24243e"
"4910","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","decb2d22210dc71d77593f37509f9835"
"4911","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","63db5a13a11f381fec0367190f77f8b4"
"4912","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9a5fbae1cd679891c0607ccd62941e6d"
"4913","DI-2",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","87c107aa3c68a3b97f7c82d9afb9cd8a"
"4914","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6d04a82269931ebe9ea412edb3207b1d"
"4915","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","14f03945074230a02618a8aa56041ff8"
"4916","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","febc11c5878b921ecd0256f531798673"
"4917","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","271b16ae629c812b5120851a5ee685e9"
"4918","None",2016,"","f74bacea91e10f947bddf5dba4634e2d"
"4919","None",2016,"VERBAL INTIMIDATION","4c332ffe003085706ee5e17f146ed30d"
"4920","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b74e920cc2080ed0cc844fe7565293c0"
"4921","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0d53edce0b3bd66f6c53bbfa9af0165c"
"4922","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","efb02b7efeb1a0641307c551a9ec1ac0"
"4923","None",2017,"COURTESY","c59b72943569e7ada1e581ecc43fed85"
"4924","Letter of Reprimand",2015,"Professionalism","2422217bf2104eca5b44ecee45c11605"
"4925","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","32c478be6a8768ae7c3f2fb3ea32aa54"
"4926","None",2015,"NEGLECT OF DUTY","50e779b0dc4b45de7c63374557ae54e6"
"4927","None",2015,"NEGLECT OF DUTY","8c5fafaaba45534fdf6bcfd0ce828b84"
"4928","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c5172ab845f4e14a72166c9b3ffd63ac"
"4929","None",2016,"","83040f4f71568f39a74b12129da3225c"
"4930","None",2016,"","a3380f5c5b7fabb472febda952418c8d"
"4931","None",2016,"","257b5801a830d5904b19bfcfe3dc54bf"
"4932","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","490bf84f82b949747a6d4d34784a1b83"
"4933","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","21b15c9ba6c246324c51eafbcc7ad478"
"4934","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","e78f8addf45f482b337b63a5e40e35ff"
"4935","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6747e24ed136ecb070b00f2a29c00cfa"
"4936","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","311789e23ffe155e995d63dd0126cf3e"
"4937","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ef0f70aa1eb7d6ae40edd6b8e1bef85e"
"4938","None",2015,"NEGLECT OF DUTY","e68c89674447c520ff6b038e2ace6fc5"
"4939","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ab4675d0f8435ed45246a345116fd058"
"4940","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d7017412338a601a1733a1a9c1958925"
"4941","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c6d1868ce8ad6e06b2e24be25a480b1f"
"4942","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","42d42aab3fa22a623eda45e6c8ed8f18"
"4943","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","beb0b2106295c4f5638a57c33bec4725"
"4944","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7b1b2c68bcbfe1e228dfc5040464898f"
"4945","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","35664e124147e485d81e2c9a63caf048"
"4946","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","289d3ae26a16fdc72e6f805272b1b014"
"4947","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c8f887e711a018322defd0aac9df54b4"
"4948","Suspension",2016,"NEGLECT OF DUTY","1780c16f5a24743c4e699c903b850819"
"4949","Suspension",2018,"Professionalism","1126191df3fda26b8e9179d36bb60531"
"4950","Resigned before disposition",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a502d8075458177dd8316282c65e134b"
"4951","None",2015,"Professionalism","35cbfb21015ea857c7c5223e50f15f9b"
"4952","None",2015,"Professionalism","5bfde5a88f24701f097069eeb9a4534a"
"4953","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","043f18b22336955f7af9a901575d1bfb"
"4954","Unknown action taken",2015,"NEGLECT OF DUTY","c648eebe09192869ab2b604ef46b717b"
"4955","Unknown action taken",2015,"NEGLECT OF DUTY","c111645211189acdf02ef3b5c60e3c03"
"4956","Unknown action taken",2015,"NEGLECT OF DUTY","2fad7a6c32e8ea1d8980da683e1e75ed"
"4957","Unknown action taken",2015,"NEGLECT OF DUTY","8bd799834af84e07a2e23f5a180d41f9"
"4958","None",2016,"NEGLECT OF DUTY","cfde4c4c2b075c904f1ad1d8e3189ba2"
"4959","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","e9d400162803e5544c4270b4b1b9755f"
"4960","None",2016,"INTERFERING WITH INVESTIGATIONS","d4e2e171c9b6e66278bde8b0ef519f72"
"4961","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","cbe785999e7d4e558764519c3ed49ae8"
"4962","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","fad452157dfdf2569b5ab621f63b4c77"
"4963","None",2016,"NEGLECT OF DUTY","57b2faab587f24f6b2ef6fca1b52b8c3"
"4964","None",2015,"NEGLECT OF DUTY","baaaa44e9385740b422be0fcfa721fcd"
"4965","None",2016,"INTERFERING WITH INVESTIGATIONS","9f35542ca42af352679942f7364d95aa"
"4966","None",2016,"ACTING IMPARTIALLY","ba738b8b550c0c7607088975aaffe470"
"4967","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","4e2fdfdb93a9e4334820ab3881727c05"
"4968","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a20a4ac47e6517d9cd75d3aca425747d"
"4969","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","341567ce83ed9704f9c519e8f0c45b70"
"4970","None",2015,"NEGLECT OF DUTY","8dc1bf2438aba9b1b4584759d0b681a4"
"4971","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7cd7c13c0b61d6b76399fd1f57f6099a"
"4972","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","89846b11675d5dc34aded51758d9bd6d"
"4973","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0d8831e4cfa4dcd8e86ce16e6140ea98"
"4974","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ca50394949c17ed1dd1cfceb7bc1e199"
"4975","None",2016,"UNAUTHORIZED FORCE","2c9c3720288b4fb9acf109fe61c80041"
"4976","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a272c1e481a795a386d3efaf3848a60c"
"4977","None",2016,"ADHERENCE TO LAW","e1b60463ab84368cf4205f06615053b2"
"4978","None",2017,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","7966a1e013fb1f9168749267dc90be63"
"4979","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f9b59539b46a72f8d9b43f20a6508559"
"4980","None",2016,"NEGLECT OF DUTY","8e0c6a1c3b3bd97a9d4e8b7b56674367"
"4981","None",2016,"NEGLECT OF DUTY","8068bc1e4e4bba5219e822805fca6a3d"
"4982","Suspension",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","fa348235cc8d5829191e6a188e3112d6"
"4983","Suspension",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a1750adc13bedf1cff1e0b9777f5b9e6"
"4984","Suspension",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f03cfda6efb55e94ea87e4ca90de1c67"
"4985","Unknown action taken",2015,"Social Networking Websites....etc.","80326f43e6ac2047849216c3f529a190"
"4986","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b6ca415e5e63315927ccc8d5ab35c413"
"4987","None",2015,"UNAUTHORIZED FORCE","fa2bcfe2ec7a7d1569d8a7b327b10787"
"4988","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ebd02178fef94587aae28a69e8ef92ea"
"4989","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","4464d85f3ea4f205e9008b1c6fd6501b"
"4990","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9b0315436e7e856f7a7db24f2f92de7b"
"4991","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","5b58a9dbeb7693cc97a4c76f7c51eba8"
"4992","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","55258f9c6e89e06910836dae1ae56d37"
"4993","Illegitimate outcome",2015,"ADHERENCE TO LAW","9a6a9c7a637e1f1b1c28db7048a900c9"
"4994","Illegitimate outcome",2015,"ADHERENCE TO LAW","a4e7b75f20ac5af6384bd3c4856b0f7f"
"4995","Illegitimate outcome",2015,"Professionalism","03d5d1aad384c2404c1e512a4c8b5923"
"4996","Illegitimate outcome",2015,"Use Of Alcohol/Drugs Off-Duty","3170e9e93e963565f9b041caba5993e6"
"4997","None",2015,"NEGLECT OF DUTY","19ef62ba583f975ec77278243af9a9d7"
"4998","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","c53ee78d1dda13cac9a5732015c620bb"
"4999","Letter of Reprimand",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a9655e463c956453aeeccec491725941"
"5000","None",2016,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","ab9d8e9485d7ccda9603b475e73f546d"
"5001","Letter of Reprimand",2015,"NEGLECT OF DUTY","6e0cc37be7d994a538ae9ffbd69c6997"
"5002","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","8da7f0c4be1b0eacaf03fefeec73969d"
"5003","Suspension",2015,"REPORTING FOR DUTY","2cead4919f47bfd4fe5dcdcc1a2003f4"
"5004","None",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","06b022de56edbd0792a5cf85f0f4d831"
