"","Action.taken.OIPM","Action.taken.year","Allegation.short","Allegation.primary.key"
"67","None",2009,"ADHERENCE TO LAW","b44cb0da3eb43749c9c0e40ebf14ae1a"
"68","None",2009,"ADHERENCE TO LAW","459d204bb6c1558ea8b3d997e48996b0"
"69","None",2009,"ADHERENCE TO LAW","5a567bfff3ffeb4722a90a281879bdf8"
"70","None",2009,"ADHERENCE TO LAW","4ed301d31d49956f5b55f288b1dfbafd"
"71","None",2009,"ADHERENCE TO LAW","de5f4e9b8a8f7025dc06dd7566beed22"
"72","None",2009,"ADHERENCE TO LAW","6c1b4dee0af31a612191e94ca7b1eea3"
"73","Suspension",2009,"ADHERENCE TO LAW","3e32943ca31c92ed4c0ca3678929538d"
"74","None",2010,"ADHERENCE TO LAW","bc8fc5fb2bcb0ed4ef1088c686a747ff"
"75","None",2006,"COURTESY","69fb87f9245dfda43b7fc1e641b44f01"
"76","None",2010,"COURTESY","ee96d793354de0fe5385f3da15025550"
"77","None",2010,"COURTESY","6fedd375f4140854a31e2faf649739b4"
"78","None",2010,"COURTESY","f25e961e582055fe40f8109558a43f78"
"79","None",2010,"COURTESY","dc1a54556127df01abb1f4c70822fd86"
"80","None",2006,"COURTESY","151a8795bd0b2923c59754c1e37444cf"
"81","None",2006,"COURTESY","95facf42c73075362b88aba856e67c77"
"82","None",2009,"COURTESY","ed8681c39893f39952e099809686b352"
"83","None",2009,"COURTESY","bff1041b8d9ef77e4e1e6de2b52ca59a"
"84","None",2010,"COURTESY","db4aebc898f7d658fa61be33353269ed"
"85","None",2010,"COURTESY","9eaabbb74e979c110938d6619a91aac9"
"86","None",2010,"COURTESY","e110b0bb347e157691d65030bc84311c"
"87","Illegitimate outcome",2012,"COURTESY","fc23c02bfcaa37cb1d87ae3d92e0d92d"
"88","Illegitimate outcome",2012,"COURTESY","8f55f755aa1aa9784e1bf966c6534f6f"
"89","Illegitimate outcome",2012,"COURTESY","7e49aecef0a6900043a173e353fe5eb0"
"90","Illegitimate outcome",2012,"COURTESY","e50af14a0226ce55cbf577f8951255b8"
"91","None",2012,"COURTESY","ced10dac402a17096ef118980d4a03ff"
"92","None",2014,"Professionalism","c298da82e0812c25fddbd938b9659843"
"93","Illegitimate outcome",2011,"COURTESY","a60f47cf2ec564164844055b054eaa21"
"94","Illegitimate outcome",2011,"COURTESY","ff3fd02441538bd739555ca9ee132008"
"95","Illegitimate outcome",2011,"COURTESY","eedf77b7a968022368415bb553e1c109"
"96","Illegitimate outcome",2011,"COURTESY","072d9c405f482d7feb5b753c3f9229a4"
"97","Illegitimate outcome",2011,"COURTESY","856b5cb11ca9012d3a760daf484d5ad3"
"98","Illegitimate outcome",2011,"COURTESY","941cc1938f5fa14513732309f0da3166"
"99","Illegitimate outcome",2011,"COURTESY","607adc1dde4db8fe20ad770ca5331c55"
"100","Illegitimate outcome",2011,"COURTESY","1d51a155aba48b934151ba62746d01d0"
"101","Illegitimate outcome",2010,"COURTESY","2bedb35e648d15d9e279d9f2329bbea3"
"102","None",2010,"COURTESY","71bcdf7a47747031a845a3dcb65f1278"
"103","None",2011,"COURTESY","9c7b2cff84d22a8de713369b93263ff2"
"104","None",2011,"COURTESY","7d681ea5ad658aa0bcf452d11f8d021a"
"105","None",2012,"COURTESY","5811b6ca9af5d200b96e4d29e8350812"
"106","None",2011,"COURTESY","dd089d5f725fe39902332a00a7d1bf8e"
"107","None",2011,"COURTESY","f92852041b15169a1724cf0464fe016e"
"108","None",2011,"COURTESY","1666317a0b76affa684480186eff01aa"
"109","None",2011,"COURTESY","d320f84fccc0bd487820d46b536a6171"
"110","None",2011,"COURTESY","db8b2472fa8d69c228b694bdec10f1bb"
"111","Letter of Reprimand",2011,"COURTESY","9107dc54f46f42c48501039a7feb10d7"
"112","None",2010,"COURTESY","0ef4208e2991f2acbfbc427acf45715e"
"113","Suspension",2011,"COURTESY","ffb2a2737bb84cfee2f159a1bb0e248c"
"114","Suspension",2010,"COURTESY","446ae415a020dea9fcbc972e989074cd"
"115","None",2011,"COURTESY","63e1e91858d89ff010d8b0be9a225b7b"
"116","None",2009,"COURTESY","2c858f2f1d202b7b9ab4c81f4a99a149"
"117","None",2007,"COURTESY","ba8d118b02461576be06f4afc3868a30"
"118","None",2010,"COURTESY","2f5ef8db11781d09dd971d4acd9138b7"
"119","Resigned before disposition",2012,"HONESTY AND TRUTHFULNESS","df1702cf412adc043c3148004ef69916"
"120","None",2009,"HONESTY AND TRUTHFULNESS","fdcc1927d7c4cef3380bf598e314ba4b"
"121","None",2010,"HONESTY AND TRUTHFULNESS","381e5699a864e6d9f963566478cb7550"
"122","None",NA,"HONESTY AND TRUTHFULNESS","c2a490897c2e07b519bfb463985f9976"
"123","None",2010,"HONESTY AND TRUTHFULNESS","95921353b6ee4392accf968e64b54ab4"
"124","None",2010,"HONESTY AND TRUTHFULNESS","682d6a13af171c174ae20085e66a289e"
"125","None",2016,"HONESTY AND TRUTHFULNESS","65b9a5cc4a3719411dfd11695a83535e"
"126","None",2009,"HONESTY AND TRUTHFULNESS","d607c0397e0070d8a68d3c77c80da630"
"127","None",2009,"HONESTY AND TRUTHFULNESS","6b2d0ae5ea04749f5adc18506e245ea2"
"128","None",2009,"HONESTY AND TRUTHFULNESS","11651497ad8409d10124d09b94f46914"
"129","None",2009,"HONESTY AND TRUTHFULNESS","7ea59fdc30e0690d660a50516ec09fed"
"130","None",2009,"HONESTY AND TRUTHFULNESS","1b8f560cb573398a1519ac4c0df336f3"
"131","None",2009,"HONESTY AND TRUTHFULNESS","768126454096e17eb119d850c016ccf3"
"132","None",2009,"HONESTY AND TRUTHFULNESS","02ada0bd2a0731524c80a31365829609"
"133","None",2010,"HONESTY AND TRUTHFULNESS","e1c62860369ede04b8a9ff31323cca06"
"134","None",2010,"HONESTY AND TRUTHFULNESS","970ed2d734219921e82663612c24786f"
"135","Unknown action taken",2006,"HONESTY AND TRUTHFULNESS","cc2af34d9bdd1bb5c58c2809e75f60aa"
"136","Unknown action taken",2009,"HONESTY AND TRUTHFULNESS","0f526e5f73a5d4880585840c8b6457de"
"137","Suspension",2009,"HONESTY AND TRUTHFULNESS","f197c3de3e3d8a722ed0bb50e38f45e6"
"138","None",2014,"","91af7d3dbc7f010e116dbeb5d8d6d65d"
"139","None",2014,"Professionalism","08227067395b60e902446596813db7c4"
"140","None",2014,"Professionalism","d3671be9b35e1508ee600ebb7f1b7144"
"141","None",2014,"","d3785ac9ea8267400bbb3d483318cb39"
"142","None",2014,"Professionalism","157d2fda08ea61105851494d3876e75c"
"143","Letter of Reprimand",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","d6d5d78b54ea8cb07c3e82bdd53aa850"
"144","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","f90fecbe222e7e0f9989ac3ae7d8f8e0"
"145","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","9969282003a81dfbd4ee119b35d244cc"
"146","None",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","363d4ba0855ca18bbac3dc3edbfb3357"
"147","None",2016,"ADHERENCE TO LAW","7a071a2a4eccdff0b47a762130db50a7"
"148","None",2014,"","e57aee4f3301a4b86998b9e93b1415fc"
"149","None",2015,"Professionalism","86553aabd1234934a363bd9d0e87a28d"
"150","None",2014,"FALSE OR INACCURATE REPORTS","d2131bbc2d6d1c27eb01f1a75233954b"
"151","Suspension",2014,"REPORTING FOR DUTY","395bb10c001e299bcce7692e6a99c87a"
"152","None",2014,"REPORTING FOR DUTY","9a44e02c2870189d21423efc17008a73"
"153","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","cc63f76444f801288514926722ba9140"
"154","None",2014,"NEGLECT OF DUTY","fb42dfecb83cf5a673bfb494e8207600"
"155","None",2014,"VERBAL INTIMIDATION","5e80d637c036b2100e4bfb6af2c5b077"
"156","None",2014,"Professionalism","750c76482f075514d6ffda61a78d22b1"
"157","None",2014,"COURTESY","be1e9db3173c3006df50f5d3b5dcd7ff"
"158","None",2014,"Professionalism","0329fb324375181bdea180ddc2b6679f"
"159","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","5faf03a919e63fd5dcb8e54863109b01"
"160","None",2014,"Professionalism","072935e9f9e60c737bf8772783c0bc51"
"161","None",2014,"Professionalism","1735c8a5fa35600a84f9c7f2129453ae"
"162","None",2014,"COURTESY","d0ffb1a743945cc23bf5056a89bb76f0"
"163","None",2014,"Professionalism","f4e34abcce68487e31bf48a59e4dd986"
"164","None",2014,"VERBAL INTIMIDATION","1def5657e82562c2abde6387bb994ba8"
"165","None",2014,"FALSE OR INACCURATE REPORTS","6fad007b059f2ece562054813546e936"
"166","None",2014,"Professionalism","65accdf2455761d308b443f77a0e45d4"
"167","None",2014,"NEGLECT OF DUTY","b95a702c73f2a0b7fd26fd0a7f9bdab8"
"168","None",2015,"FALSE OR INACCURATE REPORTS","a39f514a941ab4008baf217fbd5a10be"
"169","None",2014,"","f2cde3ebcac88e36df557e881467e650"
"170","Suspension",2015,"NEGLECT OF DUTY","09eb4112ff4e9ec54f230277f7f6a395"
"171","None",2014,"NEGLECT OF DUTY","70964a4e5c6d5b18e5d388bf658d2455"
"172","None",2014,"Professionalism","7a73a4910a680bdc69af0d4b7e976fea"
"173","None",2014,"Professionalism","b57554d31600568142df61156c027c3a"
"174","None",2014,"COURTESY","edda00695e50c38a7c76d5617ec6a68f"
"175","None",2014,"","73adc69b83d063a0e6c3676f8fc32f48"
"176","None",2014,"Professionalism","2bea380567d91d214e0f17bd43f26005"
"177","None",2014,"Professionalism","f0f103b004798e899813609fa6e700fa"
"178","None",2014,"Professionalism","91549ea848b414063f13ce83ff9116f6"
"179","None",2014,"Professionalism","008188a8d3e19ff5f7555b57da26b3b6"
"180","None",2014,"COURTESY","b44b3d83ac4c945a81319217f796bf6c"
"181","None",2014,"Professionalism","3e5f332df7cbe28a7159e720ed34eda4"
"182","None",2014,"NEGLECT OF DUTY","21c7dadc7082ec4729a448f9fe6bdae4"
"183","None",2014,"Professionalism","1290ab11734372b7b90e1a1dfc249d06"
"184","None",2014,"Professionalism","bba87ea50f9a3028b8f43207323ce0f1"
"185","None",2014,"Professionalism","ce728051d7d029205bfdc49f6411c166"
"186","Suspension",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","37a43675da7829d070a2bf576d950334"
"187","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","0ffc3cb9be5bb4c81f51a0225ba84c64"
"188","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","4ab9f1a895c392accc34383427a888b8"
"189","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6dc934b9dffe18e2b6fb5135271d9018"
"190","None",2014,"NEGLECT OF DUTY","9d472f54a295daf8370bea86bfe874ab"
"191","None",2014,"","f9d6b3c946c88829a191433edb78cfa8"
"192","None",2014,"VERBAL INTIMIDATION","35b67ffae9cd1152aec1c9147582b1f6"
"193","None",2014,"Professionalism","1f36ae8644f86de91f780fcfaa581206"
"194","None",2014,"Professionalism","0be9e997f8011c49016a2ab848dc5d7e"
"195","None",2014,"NEGLECT OF DUTY","477c5f5b6cbb32b317a07d043d06877e"
"196","None",2014,"","cb0b3e0e6e1537a40c6250664b0f6be9"
"197","Suspension",2015,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","87d4d151f8a5158db94d4bf287c8a7dd"
"198","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","69513a3aab1a17427b969619e11c7d71"
"199","Resigned before disposition",2016,"ADHERENCE TO LAW","ed6e376235ad5afdc5f7d9f9a96c8323"
"200","Resigned before disposition",2016,"ADHERENCE TO LAW","6147666579cf6739958c3512a4f8c5e1"
"201","Resigned before disposition",2016,"ADHERENCE TO LAW","3477169c5636938f3983a39ee987d801"
"202","Resigned before disposition",2014,"ADHERENCE TO LAW","ff215c29c544d560e7e4e850885c6fc4"
"203","Resigned before disposition",2016,"ADHERENCE TO LAW","5adcb7aa9fc9b8de5a23851e7211b96d"
"204","Resigned before disposition",2014,"ADHERENCE TO LAW","76641721ec258641bb746cddd1a1634a"
"205","Resigned before disposition",2016,"ADHERENCE TO LAW","01bdb799af430b31d1064ae8bf8c4594"
"206","Resigned before disposition",2016,"ADHERENCE TO LAW","bc0bb1b780c5a2b3fbe18f1017288655"
"207","None",2016,"ADHERENCE TO LAW","cca8f96c513179dc5567d97ae85d4e48"
"208","Resigned before disposition",2016,"Professionalism","a63494e2d94fa9e21a338652cacd1b3d"
"209","None",2014,"NEGLECT OF DUTY","a27858c8e070f9bcc2386be58e174940"
"210","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b21b8a7209e5a0abfa26364de8c0853d"
"211","None",2014,"Professionalism","338e4bbc7834bd991fe0b869f9d518e9"
"212","None",2014,"Professionalism","98e20dc8f5012a32371bb10d9a2b767f"
"213","None",2014,"NEGLECT OF DUTY","6ac011d89e111979a900e356a4d6110f"
"214","Resigned before disposition",2014,"ADHERENCE TO LAW","ba54625119908b1b97f6badd3a94e3a2"
"215","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","6fbc7c3acd85fb24861d70b253be4e77"
"216","Suspension",2014,"REPORTING FOR DUTY","fdc6bb3f15910053dfc96452fd6253fa"
"217","Suspension",2014,"COURTESY","1c428c2f8721f7d46c024b17aafe5e7a"
"218","None",2014,"Professionalism","a09d96e857c7ab1ae98e209c9ec943c7"
"219","None",2014,"NEGLECT OF DUTY","77c4fdc3bb60d8f2a9fc6f094f936793"
"220","None",2014,"COURTESY","a789f2580c65b240ed9246483d8c61bc"
"221","None",2013,"","db81281bd1d412bb33c114b9aeef7c69"
"222","Unknown action taken",2013,"","6a7f51367676184d51e62ecbfe862659"
"223","None",2013,"","d881995f5725be4f514ca6d2c190c188"
"224","Unknown action taken",2013,"","703a1c4f48f7a2a4cfcb93ef78a4a3f9"
"225","None",2013,"","3641b8ac4d200c31209aa3c84adfb395"
"226","None",2013,"","b4734321770b1a2da1812fe48e23a6fb"
"227","None",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","1123fdee9d6eb053ebfe6bc75dd0a4b9"
"228","None",2014,"","696591e020bba92c4c6ff61290a59d2a"
"229","None",2014,"","5c8db30a62621b565d9ae9db48e5a663"
"230","None",2014,"NEGLECT OF DUTY","b7c4a8f99af1b768ab14efa810142a91"
"231","None",2014,"Professionalism","796c637a66e640ff5a4512de782adef8"
"232","None",2014,"NEGLECT OF DUTY","f7ef70c1f330c20de9a95f4e0d1ed6ab"
"233","None",2014,"Professionalism","f7dbb45b0603e15eb70b8ae43ae01ce2"
"234","None",2014,"COURTESY","23e34b35ef8a165cb8dcfa3fe9084d91"
"235","DI-2",2014,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a2a35a960315bdb5cdc364609fe6dd78"
"236","None",2014,"","a680344d21ad23e445aee25b362613ee"
"237","None",2018,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","a143edeea6044840eccb9a9a082d2a2d"
"238","None",2013,"Professionalism","7551798dc0ca2dc989a1bcd40c1cfdbe"
"239","None",2013,"PUBLIC STATEMENT AND APPEARANCES","79c89a0ad5e0459c187a2aec02288628"
"240","None",2014,"NEGLECT OF DUTY","45aad324eb02bb254a6aa84d8aed2857"
